ICA,Group,Subjs,Timelag,Timescale
DMN_7,young,1,6,0.11988494389605718
DMN_7,young,1,7,0.04188808214002715
DMN_7,young,1,8,0.12002176826036387
DMN_7,young,1,9,0.0299495058493489
DMN_7,young,1,10,-0.021675430807977413
DMN_7,young,1,11,-0.08978127723096548
DMN_7,young,1,12,-0.031189344302329575
DMN_7,young,1,13,0.012601573224492015
DMN_7,young,1,14,-0.07005339579264251
DMN_7,young,1,15,-0.11176094076540032
DMN_7,young,1,16,-0.11126228972184941
DMN_7,young,1,17,-0.07803591207430866
DMN_7,young,1,18,0.01467143873277712
DMN_7,young,1,19,-0.0017936929701915909
DMN_7,young,1,20,-0.10543700426496481
DMN_7,young,1,21,0.0011265585164566185
DMN_7,young,1,22,-0.058263308706877084
DMN_7,young,1,23,-0.1031683741481162
DMN_7,young,1,24,-0.07103460866362837
DMN_8,young,1,0,1.0
DMN_8,young,1,1,0.17303259790177822
DMN_8,young,1,2,0.006760885764479553
DMN_8,young,1,3,-0.08438377721663196
DMN_8,young,1,4,-0.1421355577450399
DMN_8,young,1,5,0.08185863066797736
DMN_8,young,1,6,0.08990135750061827
DMN_8,young,1,7,0.02696106257349874
DMN_8,young,1,8,-0.002574892189512661
DMN_8,young,1,9,-0.16361437713439256
DMN_8,young,1,10,-0.0986059314620999
DMN_8,young,1,11,-0.029161554970256267
DMN_8,young,1,12,-0.04005767003650243
DMN_8,young,1,13,0.0526518833452913
DMN_8,young,1,14,-0.10799127373550645
DMN_8,young,1,15,-0.0870223865008082
DMN_8,young,1,16,-0.09100933252051413
DMN_8,young,1,17,-0.12348083358340914
DMN_8,young,1,18,-0.0057260599497619726
DMN_8,young,1,19,0.06167733821567113
DMN_8,young,1,20,0.022209074936434738
DMN_8,young,1,21,0.08572141694404126
DMN_8,young,1,22,-0.05600867503243772
DMN_8,young,1,23,-0.01336645291734797
DMN_8,young,1,24,-0.0035100763076277995
DMN_9,young,1,0,1.0
DMN_9,young,1,1,-0.005004668489353478
DMN_9,young,1,2,-0.02868085972937608
DMN_9,young,1,3,-0.05809274999055873
DMN_9,young,1,4,-0.08063271499410947
DMN_9,young,1,5,0.011976267497649155
DMN_9,young,1,6,-0.058242664105323305
DMN_9,young,1,7,-0.053777183794666825
DMN_9,young,1,8,0.13567587950829185
DMN_9,young,1,9,-0.00933567936420647
DMN_9,young,1,10,-0.08249172135050589
DMN_9,young,1,11,-0.0893681288459062
DMN_9,young,1,12,-0.019348103919740015
DMN_9,young,1,13,0.09297499408863875
DMN_9,young,1,14,-0.026324089825862398
