Group,Subjs,Timelag,Timescale
young,9,20,-0.049529715326430024
young,9,21,-0.07424710472213238
young,9,22,0.03380009186509871
young,9,23,-0.0404971552656224
young,9,24,0.09689103762418744
young,10,0,1.0
young,10,1,0.6303732462172861
young,10,2,0.24297118950339508
young,10,3,0.19009615553862308
young,10,4,0.22849924320613346
young,10,5,0.15582516569579494
young,10,6,0.04094188701449673
young,10,7,0.016054196738074077
young,10,8,0.0684797221880609
young,10,9,0.03767209217188247
young,10,10,-0.04644555406749862
young,10,11,-0.06120087173592744
young,10,12,-0.06316859010974434
young,10,13,-0.07310466484395377
young,10,14,-0.09100820550580231
young,10,15,-0.11412076019295647
young,10,16,-0.1510192257965271
young,10,17,-0.17952022712776364
young,10,18,-0.18192918596259372
young,10,19,-0.15206593325745696
young,10,20,-0.15964098080067707
young,10,21,-0.1514328014066106
young,10,22,-0.09355746180642482
young,10,23,-0.058771330861736304
young,10,24,-0.06573372333153818
young,11,0,1.0
young,11,1,0.8603355469532524
young,11,2,0.6543593860619967
young,11,3,0.4388261002284311
young,11,4,0.26089830951283294
young,11,5,0.14297312146095736
young,11,6,0.05251329276326243
young,11,7,-0.059504369672207715
young,11,8,-0.16603390705889728
young,11,9,-0.23835881457810998
young,11,10,-0.2655955723951796
young,11,11,-0.25298951517220186
young,11,12,-0.21931329965606017
young,11,13,-0.18801245400780447
young,11,14,-0.1726766147422267
young,11,15,-0.15640355360817904
young,11,16,-0.12130341861543152
young,11,17,-0.063849668501042
young,11,18,-0.025725216574992302
young,11,19,-0.015190391547967126
young,11,20,-0.025093528932006868
young,11,21,-0.06189890039916614
young,11,22,-0.09305254468370466
young,11,23,-0.09544100113383101
young,11,24,-0.09341455663971324
young,12,0,1.0
young,12,1,0.8103088777114222
young,12,2,0.5632783073635541
young,12,3,0.35723099461646973
young,12,4,0.18140140995934367
young,12,5,0.045363676681307495
young,12,6,-0.09159392797235176
young,12,7,-0.19348996544390648
young,12,8,-0.26225227439214466
young,12,9,-0.3097272144218771
young,12,10,-0.2888751121945472
young,12,11,-0.2552395285847077
young,12,12,-0.21416150473738763
young,12,13,-0.14159225379442383
young,12,14,-0.09939006757479812
young,12,15,-0.08331826318490945
young,12,16,-0.09444103531842703
young,12,17,-0.12957708855645442
young,12,18,-0.1877308433694175
young,12,19,-0.22764838766669776
young,12,20,-0.2524973191032178
young,12,21,-0.2471428179195006
young,12,22,-0.2192417081440788
young,12,23,-0.17321074482773732
young,12,24,-0.10966584299748774
young,13,0,1.0
young,13,1,0.6573587638157773
young,13,2,0.2157097791498186
young,13,3,-0.033524461666861544
young,13,4,0.026506246743238072
young,13,5,0.08536853040766113
young,13,6,0.08530158193034929
young,13,7,0.021207793916126677
young,13,8,0.004199264215383708
young,13,9,0.005587285005564986
young,13,10,-0.035095952516327376
young,13,11,-0.10645164415939301
young,13,12,-0.16609265931280362
young,13,13,-0.18996810277783222
young,13,14,-0.2081105360770368
young,13,15,-0.18548454963843003
young,13,16,-0.18649074569693924
young,13,17,-0.1861336809129598
young,13,18,-0.2311031517407069
young,13,19,-0.19736298252169898
young,13,20,-0.11254087846422452
young,13,21,-0.010018816878858304
young,13,22,0.0035949611015851555
young,13,23,-0.010891480058814743
young,13,24,-0.016038549971849888
young,14,0,1.0
young,14,1,0.6928776005993312
young,14,2,0.35418023256734166
young,14,3,0.16990129901345571
young,14,4,0.08572020281042533
young,14,5,0.06915949757019646
young,14,6,0.08510765347140375
young,14,7,0.10335365546666012
young,14,8,0.09047492790698232
young,14,9,0.01412492670023352
young,14,10,-0.07063340279444857
young,14,11,-0.15749389254383234
young,14,12,-0.16654208001495158
young,14,13,-0.12570581680391377
young,14,14,-0.12544033001373836
young,14,15,-0.1266116580804271
young,14,16,-0.11462268150779938
young,14,17,-0.11984906658206257
young,14,18,-0.10739354000299454
young,14,19,-0.10735221196947235
young,14,20,-0.10068529877919984
young,14,21,-0.08329010963050217
young,14,22,-0.12129305130071874
young,14,23,-0.12606800977545082
young,14,24,-0.07092774550121583
young,15,0,1.0
young,15,1,0.6144044161372542
young,15,2,0.25200267004286736
young,15,3,0.03614840740741055
young,15,4,-0.0167904494792295
young,15,5,-0.05200579164541066
young,15,6,-0.11039868471499424
young,15,7,-0.13846697268483188
young,15,8,-0.12171498251379506
young,15,9,-0.037042798171837435
young,15,10,-0.05655446883570234
young,15,11,-0.12511234003471464
young,15,12,-0.16928763741204694
young,15,13,-0.08774125997711521
young,15,14,-0.041465794127102815
young,15,15,0.014421679646334505
young,15,16,-0.026720572523612398
young,15,17,-0.09409777132965126
young,15,18,-0.16071771312711491
young,15,19,-0.1411985950865715
young,15,20,-0.07952671724099186
young,15,21,-0.06230246590357312
young,15,22,-0.08212615971321087
young,15,23,-0.02250529367516083
young,15,24,0.03184542834019329
young,16,0,1.0
young,16,1,0.582259159955101
young,16,2,0.07495305816706158
young,16,3,-0.1080052069938585
young,16,4,-0.0561435126223685
young,16,5,-0.030845402198573506
young,16,6,-0.06243577274376468
young,16,7,-0.04803688484531189
young,16,8,-0.010732540894375756
young,16,9,-0.025230499978266877
young,16,10,-0.07074150573473212
young,16,11,-0.1004214153223883
young,16,12,-0.14825793965158376
young,16,13,-0.21583579823316323
young,16,14,-0.217827788944049
young,16,15,-0.15559684439596752
young,16,16,-0.09989618578677471
young,16,17,-0.10864445128497795
young,16,18,-0.05915296508431126
young,16,19,0.04036022357718573
young,16,20,0.0668271121772503
young,16,21,0.03351622541167017
young,16,22,0.04054368472446964
young,16,23,0.05834446403789527
young,16,24,0.05140375064748224
young,17,0,1.0
young,17,1,0.7099400118059331
young,17,2,0.3237083491604848
young,17,3,0.15345188947537264
young,17,4,0.1721121079077247
young,17,5,0.21867168409365464
young,17,6,0.1908650618327461
young,17,7,0.1303742067387387
young,17,8,0.08495667711710106
young,17,9,0.058301224921120866
young,17,10,0.021930232181847774
young,17,11,-0.03946632652951223
young,17,12,-0.06658013545454462
young,17,13,-0.061086707365157665
young,17,14,-0.07244986440272994
young,17,15,-0.10240056012591724
young,17,16,-0.14453101202572308
young,17,17,-0.18148348709390552
young,17,18,-0.21461106678114147
young,17,19,-0.26730217909226045
young,17,20,-0.264411494156291
young,17,21,-0.20899094237384608
young,17,22,-0.15780995844704293
young,17,23,-0.16503499189064974
young,17,24,-0.1823916956443032
young,18,0,1.0
young,18,1,0.633562772369932
young,18,2,0.3702161187377031
young,18,3,0.23513731543781508
young,18,4,0.2401126221796765
young,18,5,0.16187687445858087
young,18,6,0.0020551507065593765
young,18,7,-0.12339930252681314
young,18,8,-0.17281911985284695
young,18,9,-0.14416829745419174
young,18,10,-0.15029259001619627
young,18,11,-0.19272695449376767
young,18,12,-0.2233653819701461
young,18,13,-0.18674298874959097
young,18,14,-0.2036140979306379
young,18,15,-0.2006929243614498
young,18,16,-0.1777689668880575
young,18,17,-0.12229362591626662
young,18,18,-0.07371887265791818
young,18,19,-0.05662597208480726
young,18,20,-0.021468010107275993
young,18,21,0.0018344436903261236
young,18,22,0.014261873521887515
young,18,23,-0.025344901260801772
young,18,24,-0.09980026023971371
young,19,0,1.0
young,19,1,0.6772947847117072
young,19,2,0.48534948734021355
young,19,3,0.3737650192621522
young,19,4,0.21154028101639616
young,19,5,0.13769490893389905
young,19,6,0.03630323035712155
young,19,7,-0.06607687088555514
young,19,8,-0.09698080660395672
young,19,9,-0.155052297863572
young,19,10,-0.15008870259530416
young,19,11,-0.18105208781023271
young,19,12,-0.18944708699559965
young,19,13,-0.15527769273363626
