Group,ICA,GMV
Younger,CC_10,0.5109534940936349
Younger,CC_11,0.6681344563310797
Younger,CC_12,0.25834657138947287
Younger,CC_13,0.4342369590744828
Younger,CC_14,0.4241172486182415
Younger,CC_15,0.4687552479180423
Younger,CC_16,0.370817475698211
Younger,CC_17,0.4811156247601365
Younger,CC_18,0.2191169946031137
Younger,AUD_1,0.5891598020539139
Younger,AUD_2,0.4222033954027927
Younger,AUD_3,0.46882659829024115
Younger,AUD_4,0.6222484689770322
Younger,AUD_5,0.473832059990276
Younger,AUD_6,0.5568597425114025
Younger,DMN_1,0.5600206075292645
Younger,DMN_2,1.1285779707403627e-06
Younger,DMN_3,0.0684900985974254
Younger,DMN_4,0.3392843017072389
Younger,DMN_5,0.3236548485177936
Younger,DMN_6,0.3956302801767985
Younger,DMN_7,0.3406676975163547
Younger,DMN_8,0.36124976476033527
Younger,DMN_9,0.44800429000998987
Younger,DMN_10,0.40996556209795404
Younger,DMN_11,0.21144185734517645
Younger,SMN_1,0.294146200021108
Younger,SMN_2,0.3474140925840898
Younger,SMN_3,0.2792217027057301
Younger,SMN_4,0.23610741622520215
Younger,SMN_5,0.27473009084210254
Younger,SMN_6,0.402889966061621
Younger,VIS_1,0.3012529977343299
Younger,VIS_2,0.3843874597188198
Younger,VIS_3,0.41079702070265106
Younger,VIS_4,0.3324896350051417
Younger,VIS_5,0.4745183821880456
Younger,VIS_6,0.2839711200107228
Younger,VIS_7,0.5198274489605066
Younger,VIS_8,0.5300982323559847
Younger,VIS_9,0.4236039916674296
Younger,VIS_10,0.28187010234052484
Younger,VIS_11,0.30568649371465045
Younger,VIS_12,0.26971275607744855
Younger,SC_1,0.0033017550595104694
Younger,SC_2,0.306122108390837
Younger,SC_3,0.00285187022712886
Younger,SC_4,0.2570611879681096
Younger,SC_5,0.4696857658299533
Younger,SC_6,0.3565925061702728
Younger,SC_7,0.44906932657415216
Younger,CC_1,0.37688797531705914
Younger,CC_2,0.3950449526309967
Younger,CC_3,0.10936840623617172
Younger,CC_4,0.4236037622798573
Younger,CC_5,0.3170213338100549
Younger,CC_6,0.0
Younger,CC_7,0.4144190495664423
Younger,CC_8,0.3128144745573853
Younger,CC_9,0.32919564933487866
Younger,CC_10,0.31329146388805273
Younger,CC_11,0.4326838462641745
Younger,CC_12,0.17248359683788184
Younger,CC_13,0.3076752166856419
Younger,CC_14,0.3050766515009331
Younger,CC_15,0.27344702726060693
Younger,CC_16,0.1987541952367985
Younger,CC_17,0.3531111885200847
Younger,CC_18,0.12207267851088986
Younger,AUD_1,0.3878379265467326
Younger,AUD_2,0.3441739326173609
Younger,AUD_3,0.3768333765593442
Younger,AUD_4,0.4835303218075723
Younger,AUD_5,0.4020225252165939
Younger,AUD_6,0.4801219981728178
Younger,DMN_1,0.729101917960427
Younger,DMN_2,1.3089701328775998e-06
Younger,DMN_3,0.1966264442060933
Younger,DMN_4,0.35459342057054694
Younger,DMN_5,0.46154510433023627
Younger,DMN_6,0.5495162786859454
Younger,DMN_7,0.37885755255366815
Younger,DMN_8,0.4464485798821305
Younger,DMN_9,0.5500616521546335
Younger,DMN_10,0.4649354400056781
Younger,DMN_11,0.1593758569973888
Younger,SMN_1,0.2985307077566783
Younger,SMN_2,0.34805181170954846
Younger,SMN_3,0.4962624726873456
Younger,SMN_4,0.2663761101888888
Younger,SMN_5,0.2620133775653261
Younger,SMN_6,0.4876770819678451
Younger,VIS_1,0.35249810778733454
Younger,VIS_2,0.5946739026994416
Younger,VIS_3,0.454330844409538
Younger,VIS_4,0.3457146499193076
Younger,VIS_5,0.4955061330939784
Younger,VIS_6,0.35508026498736756
Younger,VIS_7,0.6398824652036031
Younger,VIS_8,0.6083545937682643
Younger,VIS_9,0.5292778304128936
Younger,VIS_10,0.3838146274740046
Younger,VIS_11,0.4908392113266569
Younger,VIS_12,0.31051289041837055
Younger,SC_1,0.004598525587370563
Younger,SC_2,0.35135120875907666
Younger,SC_3,0.003277126820952011
Younger,SC_4,0.32189710934956867
Younger,SC_5,0.4936356156161337
Younger,SC_6,0.4826068932359869
Younger,SC_7,0.5393645266691843
Younger,CC_1,0.37787649306384
Younger,CC_2,0.4107024479996074
Younger,CC_3,0.11604887382550673
