Group,ICA,Timescale
young,VIS_1,2.0174293443226423
young,VIS_2,3.316226312022714
young,VIS_3,1.7919389274915645
young,VIS_4,1.8840045884683523
young,VIS_5,2.5666795935359272
young,VIS_6,1.4739751426957595
young,VIS_7,1.5244187096762527
young,VIS_8,1.4023751985101227
young,VIS_9,2.2180435052017993
young,VIS_10,2.0537626586960536
young,VIS_11,0.9923497264765209
young,VIS_12,1.9700276690966574
young,SC_1,4.784826105678672
young,SC_2,3.301687295434971
young,SC_3,2.232414477043961
young,SC_4,2.5932864600225147
young,SC_5,3.167131058397704
young,SC_6,2.162989652109668
young,SC_7,2.365264953264766
young,CC_1,4.067675872364799
young,CC_2,1.8209011627103346
young,CC_3,1.5650066679087031
young,CC_4,3.2767518200961536
young,CC_5,1.7587855008726445
young,CC_6,3.2305506387323057
young,CC_7,3.7560844941335323
young,CC_8,1.810983469563932
young,CC_9,3.3243059370376953
young,CC_10,8.60024451875374
young,CC_11,1.8232707510348392
young,CC_12,1.008109705033118
young,CC_13,1.6405625312831946
young,CC_14,3.2349548928040597
young,CC_15,1.2181161747732485
young,CC_16,1.8177417449838962
young,CC_17,1.3118094969198737
young,CC_18,3.4296308751752136
young,AUD_1,3.7741855251964935
young,AUD_2,1.5780980277055834
young,AUD_3,3.3475665809478925
young,AUD_4,2.108862353841844
young,AUD_5,1.6093031717422963
young,AUD_6,3.94680672877939
young,DMN_1,1.0829575681216337
young,DMN_2,1.83677102252493
young,DMN_3,3.1896793267123273
young,DMN_4,2.5279650728248932
young,DMN_5,4.126111588117064
young,DMN_6,2.6008658325905514
young,DMN_7,0.4245832442702664
young,DMN_8,0.9223219498042592
young,DMN_9,0.45710714332029045
young,DMN_10,1.1526450870840124
young,DMN_11,4.033223824469697
young,SMN_1,3.043143519854638
young,SMN_2,3.0839468266100827
young,SMN_3,0.6155527387371623
young,SMN_4,3.5256364093048607
young,SMN_5,3.43499341680175
young,SMN_6,0.8568221893740484
young,VIS_1,2.3099178435362666
young,VIS_2,1.5327081049369924
young,VIS_3,2.512871011974982
young,VIS_4,4.204878322854037
young,VIS_5,3.35892338584545
young,VIS_6,1.9164289331764899
young,VIS_7,0.4609350460255096
young,VIS_8,0.5361372001315786
young,VIS_9,4.483305230411661
young,VIS_10,1.8925894253421833
young,VIS_11,2.709039587589132
young,VIS_12,1.0344838992666727
young,SC_1,1.6631344521402451
young,SC_2,0.4017732839766027
young,SC_3,1.8120224010672137
young,SC_4,2.1330861036373725
young,SC_5,1.1934030558097548
young,SC_6,0.8129101802900809
young,SC_7,2.0354415669814587
young,CC_1,3.5481238415052063
young,CC_2,1.5776795462134938
young,CC_3,0.8686663098853475
young,CC_4,3.9072608279473773
young,CC_5,1.6666692302107353
young,CC_6,4.079110939832458
young,CC_7,1.5554309335268324
young,CC_8,1.4647434118519713
young,CC_9,1.1542147157127225
young,CC_10,0.811892054777029
young,CC_11,2.8545446815140187
young,CC_12,1.193883361035815
young,CC_13,1.1411605334347512
young,CC_14,2.1747244284631835
young,CC_15,1.0633070772538973
young,CC_16,0.9605808201069752
young,CC_17,2.374858276730866
young,CC_18,3.8016968956055597
young,AUD_1,1.266062284671809
young,AUD_2,1.3034743031298845
young,AUD_3,0.905454466079747
young,AUD_4,2.5790718874457954
young,AUD_5,0.9712784920410502
young,AUD_6,0.8609165164957864
young,DMN_1,0.4401400512880641
young,DMN_2,1.7968984453130297
young,DMN_3,1.465184176108751
young,DMN_4,0.22216388602940673
young,DMN_5,1.362261916440579
young,DMN_6,0.3598865653450942
young,DMN_7,0.11352220786419764
young,DMN_8,1.4342962319962373
young,DMN_9,0.46209275132211214
young,DMN_10,1.5207577943018644
young,DMN_11,0.16036155744860248
young,SMN_1,2.148986577954192
young,SMN_2,1.4826931198425646
young,SMN_3,0.38937683454156236
young,SMN_4,1.6192956341403546
young,SMN_5,0.29521942645731436
young,SMN_6,0.28819854286993896
young,VIS_1,1.513945216557652
young,VIS_2,1.2887456686088425
young,VIS_3,2.616073313204374
young,VIS_4,0.43370229232312096
young,VIS_5,0.3708545050152502
young,VIS_6,0.9712999458890563
young,VIS_7,1.4731121482354186
young,VIS_8,0.2920392253939581
young,VIS_9,2.9784771361420845
young,VIS_10,3.0854752236933605
young,VIS_11,0.45704249586697676
young,VIS_12,1.7054934139057691
young,SC_1,0.1598855661778955
young,SC_2,0.40714053464526767
young,SC_3,2.3912893211963944
young,SC_4,1.737090121639005
