Group,ICA,Timescale
young,VIS,1.6365448074867814
young,SC,1.52758451221821
young,CC,1.5498863929551956
young,AUD,1.4608187436095015
young,DMN,2.3312360503206944
young,SMN,1.8227642164509572
young,VIS,3.0829099774414153
young,SC,1.9572830488230046
young,CC,2.1706976664189046
young,AUD,2.2742593332312167
young,DMN,1.7744131168339115
young,SMN,1.7379631828267152
young,VIS,2.4653996343496023
young,SC,2.5956530408028953
young,CC,2.4227597786211916
young,AUD,2.332785612033547
young,DMN,2.506989743664793
young,SMN,1.7939854776844009
young,VIS,2.289588483049229
young,SC,2.543885504040344
young,CC,2.7925197524371037
young,AUD,1.9698344269748678
young,DMN,3.1242084539115313
young,SMN,2.7893563164506694
young,VIS,4.293325211545663
young,SC,2.9340497395887333
young,CC,3.858437398300399
young,AUD,2.648522095444591
young,DMN,1.626339130734493
young,SMN,1.4235053972683867
young,VIS,2.0264015751091775
young,SC,1.9364184565795295
young,CC,2.27060218073786
young,AUD,2.01264912446084
young,DMN,2.250838794356771
young,SMN,3.1834872681185113
young,VIS,2.6935423531366847
young,SC,2.3739650570325934
young,CC,2.7872275353700986
young,AUD,3.4353280364351204
young,DMN,1.7061470655104545
young,SMN,1.466764171932172
young,VIS,1.7283942328673172
young,SC,1.8358318294480678
young,CC,1.384353140645891
young,AUD,1.3694225522666585
young,DMN,1.9597267370850633
young,SMN,1.887417841715328
young,VIS,2.3472981213595423
young,SC,3.2131116230374817
young,CC,2.0377340972899223
young,AUD,1.678769032515586
young,DMN,1.7880617509607135
young,SMN,2.117779031288894
young,VIS,2.498714623022305
young,SC,2.958631502294226
young,CC,1.9050167432292646
young,AUD,1.685635128995436
young,DMN,2.281673935794891
young,SMN,2.401650258182212
young,VIS,3.17646206976695
young,SC,2.1976768690690602
young,CC,1.9717918251397077
young,AUD,2.2182060599902784
young,DMN,1.2075057239681364
young,SMN,1.5923333542385663
young,VIS,1.5978805594204832
young,SC,1.4443229467353806
young,CC,1.3981663229829908
young,AUD,1.293586744265388
young,DMN,2.985324678522812
young,SMN,3.79215848031952
young,VIS,2.8694237097242965
young,SC,2.108047221392707
young,CC,3.136505854991138
young,AUD,3.1878165170766883
young,DMN,1.4921560389313606
young,SMN,1.6875562664782473
young,VIS,2.145102577878212
young,SC,2.4252713989099663
young,CC,1.6549282396493965
young,AUD,1.2885876131576892
young,DMN,1.9589484342731405
young,SMN,2.8149880552858817
young,VIS,2.4377587659219095
young,SC,2.3014109709938846
young,CC,1.9404223858101324
young,AUD,1.988479703351139
young,DMN,1.8827671497928813
young,SMN,2.482529608104846
young,VIS,2.475094850784662
young,SC,2.226346870788662
young,CC,2.473317903861203
young,AUD,1.8190763311761298
young,DMN,2.0227344295871195
young,SMN,2.003768367366782
young,VIS,2.391631443642964
young,SC,1.4300673876880123
young,CC,2.2688586008236693
young,AUD,1.193103362126369
young,DMN,2.642158969461829
young,SMN,2.250860392453417
young,VIS,2.879119297435866
young,SC,2.4255207615119687
young,CC,2.504627445725978
young,AUD,1.360716024861764
young,DMN,2.6483051350486453
young,SMN,1.5386905674934874
young,VIS,3.955311183834034
young,SC,3.0075914062368407
young,CC,2.874093719371875
young,AUD,2.3299756214691563
elder,DMN,1.6764626181126763
elder,SMN,1.55848984211475
elder,VIS,2.158151426941356
elder,SC,1.3367088002184695
elder,CC,1.6676690573189066
elder,AUD,1.4795138254417146
elder,DMN,1.5596709853877675
elder,SMN,2.1754144585560877
elder,VIS,2.570022334171146
elder,SC,2.2589420893038565
elder,CC,2.4810866421479143
elder,AUD,2.369002070419367
elder,DMN,1.174139766961968
elder,SMN,1.2025263203110745
elder,VIS,1.6168961181636987
elder,SC,1.4651805784165461
elder,CC,1.3434523557899727
