Group,GMV_ratio,GMV_nodes
Elderly,0.0017217106786890225,99828
Elderly,0.003137292202149337,99687
Elderly,0.003414602131065218,99659
Elderly,0.0020891481618329905,99792
Elderly,0.001282527742774399,99872
Elderly,0.0012348481827830985,99877
Elderly,0.0005381636006732684,99947
Elderly,0.004707829752756904,99530
Elderly,0.0010672492855629606,99894
Elderly,0.0014135259536502097,99859
Elderly,0.0014104641935372654,99859
Elderly,0.002369290564090797,99764
Elderly,0.003799810014630595,99621
Elderly,0.0020449365256116027,99796
Elderly,0.0014843965563591597,99852
Elderly,0.002996091658892636,99701
Elderly,0.003375370013734426,99663
Elderly,4.030582793062578e-05,99996
Elderly,0.0017377361274925041,99827
Elderly,0.002823297085820016,99718
Elderly,0.0011270230769201833,99888
Elderly,0.0020537555326492797,99795
Elderly,0.0008307831843210479,99917
Elderly,0.001942354541428887,99806
Elderly,0.0016843731277936956,99832
Elderly,0.0022670587898711387,99774
Elderly,0.002864251633935138,99714
Elderly,0.0040212804589957575,99598
Elderly,0.0034649511176995636,99654
Elderly,0.00487349724380315,99513
Elderly,0.0020128056482896697,99799
Elderly,0.00037081339630102975,99963
Elderly,0.0010078076039960982,99900
Elderly,0.0014385022792537895,99857
Elderly,0.00219635754908581,99781
Elderly,0.0008854079827128249,99912
Elderly,0.0042250302009870806,99578
Elderly,0.004690619926160029,99531
Elderly,0.001101032877191999,99890
Elderly,0.0026870971268419174,99732
Elderly,0.00183720879182144,99817
Elderly,0.0017680292548772005,99824
Elderly,0.0017885243929604854,99822
Elderly,0.0008538419632140113,99915
Elderly,0.0025723013746503922,99743
Elderly,0.004322300915323687,99568
Elderly,9.897243583172034e-05,99991
Elderly,0.002693190058400603,99731
Elderly,0.0023898824597755252,99762
Elderly,0.003425169584601237,99658
Elderly,0.0012476132528656755,99876
Elderly,0.0038560258915055065,99615
Elderly,0.0026241029466389613,99738
Elderly,0.0026249652916679627,99738
Elderly,0.0004353087626279058,99957
Elderly,0.0007452175866713756,99926
Elderly,0.002246031074444097,99776
Elderly,0.001699132990210395,99831
Elderly,0.0015667475758430604,99844
Elderly,0.00037284124746769375,99963
Elderly,0.0019009656484402307,99810
Elderly,0.0007650159347234405,99924
Elderly,0.0004259695212844482,99958
Elderly,0.00232089666698822,99768
Elderly,0.004407615153467147,99560
Elderly,0.004277508521021614,99573
Elderly,0.0009929957922168598,99901
Elderly,0.00034451697467453065,99966
Elderly,0.0018681097353838228,99814
Elderly,0.004523824973993983,99548
Elderly,0.0014051807896704154,99860
Elderly,0.0005147990221933808,99949
Elderly,0.003911390291287629,99609
Elderly,0.0016854164014953148,99832
Elderly,0.004403740129239189,99560
Elderly,0.000871459970965991,99913
Elderly,0.00032424009767333497,99968
Elderly,0.0012123756235758807,99879
Elderly,0.0028130556316827903,99719
Elderly,0.0018525135731448637,99815
Elderly,0.0016216240274610008,99838
Elderly,0.004530939875429453,99547
Elderly,0.003222150429897797,99678
Elderly,0.002361142284620795,99764
Elderly,0.0006739674840031814,99933
Elderly,0.0034155394511936332,99659
Elderly,0.0013321596572485254,99867
Elderly,0.0027695765090360548,99724
Elderly,0.0015579407154294419,99845
Elderly,0.0015613044293818303,99844
Elderly,0.0029472897768005784,99706
Elderly,0.0023007805064476847,99770
Elderly,0.00034517342078794946,99966
Elderly,0.0006317871429834666,99937
Elderly,0.0044615785818610705,99554
Elderly,0.0008974657528416597,99911
